file,request,error,timestamp
CF-494-010-000045-PPDef.pdf,CF-494-010-000045-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:33:51.879362
CF-494-010-000046-PPDef.pdf,CF-494-010-000046-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:34:30.400410
CF-494-010-000047-PPDef.pdf,CF-494-010-000047-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:35:02.148181
CF-494-010-000055-PPDef.pdf,CF-494-010-000055-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:35:34.407601
CF-494-010-000064-PPDef.pdf,CF-494-010-000064-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:36:06.768625
CF-494-010-000065-PPDef.pdf,CF-494-010-000065-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:36:37.403552
CF-494-010-000066-PPDef.pdf,CF-494-010-000066-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:37:07.915986
CF-494-012-000003-PPDef.pdf,CF-494-012-000003-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:37:38.728313
CF-494-012-000005-PPDef.pdf,CF-494-012-000005-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:38:09.207944
CF-494-012-000007-PPDef.pdf,CF-494-012-000007-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:38:39.822629
CF-494-012-000008-PPDef.pdf,CF-494-012-000008-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:39:10.292136
CF-494-012-000010-PPDef.pdf,CF-494-012-000010-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:39:40.867017
CF-494-012-000013-PPDef.pdf,CF-494-012-000013-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:40:11.389402
CF-494-012-000015-PPDef.pdf,CF-494-012-000015-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:40:42.252541
